     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         1,         0,   0.889,tesseract-custom,dc953ff6b6eca3634f309775cbd00b4b4804eb0fb0e2c35ecd916f63eb71f420,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.1,""r"":24}",
         1,         1,         0,   0.970,tesseract-custom,dc953ff6b6eca3634f309775cbd00b4b4804eb0fb0e2c35ecd916f63eb71f420,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.1,""r"":24}",
         1,         1,         0,   0.962,tesseract-custom,dc953ff6b6eca3634f309775cbd00b4b4804eb0fb0e2c35ecd916f63eb71f420,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.1,""r"":24}",
         5,         4,         0,    5.27,tesseract-custom,c4492ba3b6bddb9923e33ec3355ab7bfd78d7a9e4fb30e8d39dd16d4b23bc9ef,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.0501187233627272,""r"":24}",
         5,         5,         0,    6.19,tesseract-custom,68a904b819937530eb689df312375851768511516a941064c6ec8fd7990d904c,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.025118864315095794,""r"":24}",
         2,         2,         0,    1.84,tesseract-custom,dc953ff6b6eca3634f309775cbd00b4b4804eb0fb0e2c35ecd916f63eb71f420,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.1,""r"":24}",
      1952,         1,         0,    63.4,tesseract-custom,4b585d6606e7c18576b7d815018e96e4ee1ea46106ae0af6b8970c84460c60ae,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.00039810717055349735,""r"":24}",
         2,         2,         0,    1.84,tesseract-custom,dc953ff6b6eca3634f309775cbd00b4b4804eb0fb0e2c35ecd916f63eb71f420,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.1,""r"":24}",
         9,         9,         0,    11.8,tesseract-custom,06dd735093a252a72d62660ad5168b900998c5115664b899a630f36546a976b6,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.012589254117941675,""r"":24}",
         6,         6,         0,    6.26,tesseract-custom,c4492ba3b6bddb9923e33ec3355ab7bfd78d7a9e4fb30e8d39dd16d4b23bc9ef,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.0501187233627272,""r"":24}",
         3,         3,         0,    2.83,tesseract-custom,dc953ff6b6eca3634f309775cbd00b4b4804eb0fb0e2c35ecd916f63eb71f420,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.1,""r"":24}",
        61,        24,         0,    32.4,tesseract-custom,203f249f40451590be55f384e3ec606c3ecf3aec7be608add3623942cb2e5a5f,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.0031622776601683794,""r"":24}",
         7,         7,         0,    8.64,tesseract-custom,68a904b819937530eb689df312375851768511516a941064c6ec8fd7990d904c,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.025118864315095794,""r"":24}",
         4,         4,         0,    3.75,tesseract-custom,dc953ff6b6eca3634f309775cbd00b4b4804eb0fb0e2c35ecd916f63eb71f420,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.1,""r"":24}",
         5,         5,         0,    4.63,tesseract-custom,dc953ff6b6eca3634f309775cbd00b4b4804eb0fb0e2c35ecd916f63eb71f420,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.1,""r"":24}",
         9,         9,         0,    9.41,tesseract-custom,c4492ba3b6bddb9923e33ec3355ab7bfd78d7a9e4fb30e8d39dd16d4b23bc9ef,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.0501187233627272,""r"":24}",
         7,         6,         0,    6.46,tesseract-custom,dc953ff6b6eca3634f309775cbd00b4b4804eb0fb0e2c35ecd916f63eb71f420,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.1,""r"":24}",
      7807,         0,         0,    80.9,tesseract-custom,f0e040590ce4b7faa0130d20f6b3ba627140fb974539082f6d1fda959fdd7a35,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] LRC"",""d"":8,""k"":6,""n"":144,""p"":0.00039810717055349735,""r"":16}",
        10,        10,         0,    12.1,tesseract-custom,68a904b819937530eb689df312375851768511516a941064c6ec8fd7990d904c,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.025118864315095794,""r"":24}",
        17,         0,         0,   0.114,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        64,         0,         0,   0.429,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        13,        12,         0,    17.1,tesseract-custom,06dd735093a252a72d62660ad5168b900998c5115664b899a630f36546a976b6,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.012589254117941675,""r"":24}",
        64,         0,         0,   0.422,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        64,         0,         0,   0.460,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        64,         0,         0,   0.465,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        64,         0,         0,   0.437,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        64,         0,         0,   0.477,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        64,         0,         0,   0.424,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
       260,         8,         0,    45.3,tesseract-custom,a91887c4f4d6e2d019c6d50bc5a7ba217e27864cb5db9cdc70fffc96b9167340,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.001584893192461114,""r"":24}",
        64,         0,         0,   0.439,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        64,         0,         0,   0.456,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        64,         0,         0,   0.387,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        64,         0,         0,   0.443,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
       128,         0,         0,   0.885,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        31,        31,         0,    32.7,tesseract-custom,4d333eb499c265bba0b3e933d5f48488826c053278296a24a11a6628a38ec2aa,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.006309573444801929,""r"":24}",
        12,        12,         0,    12.6,tesseract-custom,c4492ba3b6bddb9923e33ec3355ab7bfd78d7a9e4fb30e8d39dd16d4b23bc9ef,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.0501187233627272,""r"":24}",
       128,         0,         0,   0.873,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        98,        96,         0,    77.0,tesseract-custom,bd0a4274cf72530d90569ff7b23575d8e0d0dfe215ff7a03bb42e75e5ea87a0e,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] LRC"",""d"":8,""k"":6,""n"":144,""p"":0.0501187233627272,""r"":16}",
         9,         8,         0,    8.46,tesseract-custom,dc953ff6b6eca3634f309775cbd00b4b4804eb0fb0e2c35ecd916f63eb71f420,"{""basis"":""Z"",""circuit_type"":""LDPC"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] default"",""d"":12,""k"":6,""n"":216,""p"":0.1,""r"":24}",
       192,         0,         0,    1.37,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        17,         0,         0,   0.231,tesseract-custom,17eb0be73ec2b967f3688a156bbe3e7c387d9d536f9e8dfc51a90ea89340e344,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.00019952623149688788,""r"":24}",
        32,         0,         0,   0.474,tesseract-custom,17eb0be73ec2b967f3688a156bbe3e7c387d9d536f9e8dfc51a90ea89340e344,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.00019952623149688788,""r"":24}",
        32,         0,         0,   0.460,tesseract-custom,17eb0be73ec2b967f3688a156bbe3e7c387d9d536f9e8dfc51a90ea89340e344,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.00019952623149688788,""r"":24}",
        32,         0,         0,   0.423,tesseract-custom,17eb0be73ec2b967f3688a156bbe3e7c387d9d536f9e8dfc51a90ea89340e344,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.00019952623149688788,""r"":24}",
       256,         0,         0,    1.73,tesseract-custom,318be9f62b5f5d1ecaa2b1c8659e7a587e85f91aad556fc257f9a4d6997d5a44,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.0001,""r"":24}",
        32,         0,         0,   0.438,tesseract-custom,17eb0be73ec2b967f3688a156bbe3e7c387d9d536f9e8dfc51a90ea89340e344,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.00019952623149688788,""r"":24}",
        32,         0,         0,   0.453,tesseract-custom,17eb0be73ec2b967f3688a156bbe3e7c387d9d536f9e8dfc51a90ea89340e344,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.00019952623149688788,""r"":24}",
        32,         0,         0,   0.447,tesseract-custom,17eb0be73ec2b967f3688a156bbe3e7c387d9d536f9e8dfc51a90ea89340e344,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.00019952623149688788,""r"":24}",
        32,         0,         0,   0.435,tesseract-custom,17eb0be73ec2b967f3688a156bbe3e7c387d9d536f9e8dfc51a90ea89340e344,"{""basis"":""Z"",""circuit_type"":""lr"",""code_key"":""MM_216_6_12_W6"",""code_name"":""MM [[216,6,12]] LRC"",""d"":12,""k"":6,""n"":216,""p"":0.00019952623149688788,""r"":24}",
