N_total,l,m,p,r,n,k,dx,dz,wx_mean,wx_median,wx_max,wz_mean,wz_median,wz_max,A,B,C,D,mtx_tag
486,3,3,3,3,486,12,6,6,9.0,9.0,9,9.0,9.0,9,w*x*z + x + y,w^2*x^2*y^2 + w^2*x*y*z + w^2*z^2,x^2*y*z^2 + x^2*y + x,w^2*x*y*z + y*z^2 + z^2,N486_3_3_3_3_s401
486,3,3,3,3,486,12,18,18,9.0,9.0,9,9.0,9.0,9,w^2*x*z + w*x*y^2 + x^2*y*z^2,w^2*x^2*y^2 + w^2*x^2*y + x*y^2,w*x^2*z^2 + w*x*y*z + x*y^2*z^2,w^2*z + w*x*z + w*y,N486_3_3_3_3_s410
486,3,3,3,3,486,12,12,12,9.0,9.0,9,9.0,9.0,9,w^2*x^2*y^2 + w^2*x*y^2 + x*y^2*z^2,w^2*x + w*y^2*z + w,w^2*x*y^2*z + w*y + z,w^2*x^2*y^2 + w^2*z^2 + w*y^2,N486_3_3_3_3_s412
486,3,3,3,3,486,12,18,30,9.0,9.0,9,9.0,9.0,9,w + x*y + z^2,w^2*x^2*y + w*x^2*y*z^2 + w*x*y^2*z^2,w*x^2*y^2*z^2 + x*y^2 + z,w^2*x*y^2 + x*y*z^2 + x*z^2,N486_3_3_3_3_s416
486,3,3,3,3,486,12,12,12,9.0,9.0,9,9.0,9.0,9,w*y + y^2*z^2 + z^2,w^2*x^2 + w*x*y^2 + w*y*z,w^2*x^2*y^2*z^2 + w*x^2*y^2 + x*z,w*x^2*y^2 + w*y^2 + x*z,N486_3_3_3_3_s426
486,3,3,3,3,486,12,18,20,9.0,9.0,9,9.0,9.0,9,w*y + x*z^2 + y^2*z^2,w^2*x^2*y + w*x^2*y^2*z^2 + x*y,w^2*x + w*y^2*z + x*y*z^2,w^2*z^2 + w*x^2*y*z^2 + y,N486_3_3_3_3_s451
486,3,3,3,3,486,12,12,12,9.0,9.0,9,9.0,9.0,9,w*x^2*y^2*z + w*y^2*z + y*z,w^2*y^2 + w*x*y^2*z + w*z^2,w*x^2 + x^2 + y^2*z^2,w^2*y^2*z + w*x^2*y + w*x*z,N486_3_3_3_3_s455
486,3,3,3,3,486,12,37,60,9.0,9.0,9,9.0,9.0,9,w^2*y*z + y*z + z,w*x + w*y*z^2 + x^2*y^2,x*z + x + y^2*z,w^2*x*y*z + w*x + w,N486_3_3_3_3_s460
486,3,3,3,3,486,12,12,12,9.0,9.0,9,9.0,9.0,9,w^2*x*y*z + w*x*y^2*z^2 + w*z,w^2*x^2*y^2 + w^2*x^2*y*z^2 + x^2*y^2*z^2,w*x^2*y + w*y*z^2 + x^2*y,w^2*x^2*y^2*z^2 + w^2*z + x^2*z,N486_3_3_3_3_s462
486,3,3,3,3,486,12,12,12,9.0,9.0,9,9.0,9.0,9,w^2*y + w^2*z + y^2,w^2*y*z + w*x^2 + w*x*y^2,w^2*x*y*z^2 + w*y^2 + x*z^2,w^2*x^2*y^2 + w*x^2*y^2*z + x^2*y^2*z^2,N486_3_3_3_3_s473
486,3,3,3,3,486,12,12,12,9.0,9.0,9,9.0,9.0,9,w^2*x^2*y^2 + w*x^2*y^2*z + w*x^2*y^2,w^2*x*y^2 + w*y^2*z + y*z,w^2*x^2*z^2 + w^2*y + x*y*z^2,w^2*x^2*y*z + w + x*y^2*z^2,N486_3_3_3_3_s485
486,3,3,3,3,486,12,12,12,9.0,9.0,9,9.0,9.0,9,w^2*y^2*z + w*y^2*z + x*y^2,w^2*x^2*z^2 + w*y + x*y*z,w^2*x^2*y^2*z + w*x^2*y^2*z^2 + x^2*z,w^2*x*z^2 + w*x^2*y^2*z + x*y^2*z^2,N486_3_3_3_3_s494
486,3,3,3,3,486,12,65,60,9.0,9.0,9,9.0,9.0,9,w^2*x^2*z + w^2*x*y^2*z + y^2*z^2,w*x^2 + w*x*y*z^2 + w*x,w*y^2*z^2 + x^2*y*z + x^2*y,w^2*x^2*y^2*z + x^2*y^2*z + y^2*z^2,N486_3_3_3_3_s495
