     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1208,         0,         0,   120.6,tesseract-custom,34bea32d99b7ad5a791b0d9564632ebd9cde2c58ab70efdf0c5faf16cd630ebe,"{""basis"":""X"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.007498942093324558,""r"":24}",
       784,         0,         0,   120.0,tesseract-custom,46677cb9b6a93f25f93fbc6ffecef8f397387bed0bd86e886e491dffc4f58fe6,"{""basis"":""X"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.01778279410038923,""r"":24}",
      1104,         0,         0,   120.2,tesseract-custom,34bea32d99b7ad5a791b0d9564632ebd9cde2c58ab70efdf0c5faf16cd630ebe,"{""basis"":""X"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.007498942093324558,""r"":24}",
      4432,         0,         0,   120.1,tesseract-custom,1aa53049f3d7914c1ad4efa26ab43e2d6f80d44cbe747698e4c7f8fdd0daaf11,"{""basis"":""X"",""code_key"":""MM_648_60_9"",""code_name"":""MM [[648,60,9]]"",""d"":9,""decoder"":""tesseract-custom"",""k"":60,""p"":0.0031622776601683794,""r"":18}",
      1748,         0,         0,   120.2,tesseract-custom,ea9d4303c195b83a9a6a190ec3f3509f0434a5693495dccc44e133f2f1d49bf1,"{""basis"":""X"",""code_key"":""MM_648_60_9"",""code_name"":""MM [[648,60,9]]"",""d"":9,""decoder"":""tesseract-custom"",""k"":60,""p"":0.007498942093324558,""r"":18}",
       580,         0,         0,   120.8,tesseract-custom,46677cb9b6a93f25f93fbc6ffecef8f397387bed0bd86e886e491dffc4f58fe6,"{""basis"":""X"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.01778279410038923,""r"":24}",
        15,        10,         0,    33.7,tesseract-custom,d8c68491b00d95a0b769465f53662b545ad89d1fd6bb541af3f3b0c4fc55fa71,"{""basis"":""X"",""code_key"":""MM_648_60_9"",""code_name"":""MM [[648,60,9]]"",""d"":9,""decoder"":""tesseract-custom"",""k"":60,""p"":0.042169650342858224,""r"":18}",
       846,         0,         0,    16.2,tesseract-custom,94729800f7deebba8681c8005d27e319f048cd9e0f88cf0378f47232e0686d3c,"{""basis"":""X"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.0031622776601683794,""r"":24}",
       846,         0,         0,    16.2,tesseract-custom,94729800f7deebba8681c8005d27e319f048cd9e0f88cf0378f47232e0686d3c,"{""basis"":""X"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.0031622776601683794,""r"":24}",
       352,         0,         0,    18.6,tesseract-custom,94729800f7deebba8681c8005d27e319f048cd9e0f88cf0378f47232e0686d3c,"{""basis"":""X"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.0031622776601683794,""r"":24}",
        47,         0,         0,    1.02,tesseract-custom,94729800f7deebba8681c8005d27e319f048cd9e0f88cf0378f47232e0686d3c,"{""basis"":""X"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.0031622776601683794,""r"":24}",
        16,         0,         0,   0.322,tesseract-custom,94729800f7deebba8681c8005d27e319f048cd9e0f88cf0378f47232e0686d3c,"{""basis"":""X"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.0031622776601683794,""r"":24}",
