     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         1,         0,   0.135,tesseract-custom,2b8f51462867410b87e75c4664bca8236334c918a6dfb270653b6347c077bb00,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.042169650342858224,""r"":16}",
      1024,         0,         0,   0.029,tesseract-custom,72a19dbeb3a3fef19d70cfdabed6c5613b5eb06c743f28bdfa8efc759cd97628,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0001,""r"":12}",
      1024,         0,         0,   0.069,tesseract-custom,080be8e0b2b10e3f4a65499882fa22668934f1ed9b4000eb5651c5aa982fe5a0,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0005623413251903491,""r"":12}",
      2048,         0,         0,   0.065,tesseract-custom,72a19dbeb3a3fef19d70cfdabed6c5613b5eb06c743f28bdfa8efc759cd97628,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0001,""r"":12}",
      1024,         0,         0,   0.130,tesseract-custom,21fd3f56c65f9161cff68b8029dbd87b3c59f5daea3ebe6cdf65c8862ea4d382,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.00023713737056616554,""r"":12}",
      1024,         0,         0,   0.072,tesseract-custom,080be8e0b2b10e3f4a65499882fa22668934f1ed9b4000eb5651c5aa982fe5a0,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0005623413251903491,""r"":12}",
      1024,         0,         0,   0.143,tesseract-custom,6493ee1b53f9ab5550a46c40cc7e9332a0d6bb62740562febfcb9183c7aed9a9,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.00023713737056616554,""r"":16}",
      2048,         0,         0,   0.059,tesseract-custom,72a19dbeb3a3fef19d70cfdabed6c5613b5eb06c743f28bdfa8efc759cd97628,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0001,""r"":12}",
      1024,         0,         0,   0.185,tesseract-custom,9ca89ebee77dc979b81df441dc2064ac21271eaa63014c740199eb18e93e896d,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.0001,""r"":16}",
        17,         0,         0,   0.038,tesseract-custom,8d61379324844f488cc65a206255aaa343576bbd49cfd9f8eb7ae842ccac4b07,"{""basis"":""Z"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.0001,""r"":24}",
         1,         0,         0,   0.034,tesseract-custom,6d5bf1b571e6a4d19b98d5e87ec847fd21c4b94ca8e8df3430d943c3cdedf8dc,"{""basis"":""Z"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.0031622776601683794,""r"":24}",
       128,         0,         0,   0.293,tesseract-custom,b9e6b2f4a5382fbfce771a7612e96d4f3e65cab5dad9630568891f525c42867b,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.007498942093324558,""r"":16}",
      1024,         0,         0,   0.108,tesseract-custom,21fd3f56c65f9161cff68b8029dbd87b3c59f5daea3ebe6cdf65c8862ea4d382,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.00023713737056616554,""r"":12}",
         1,         0,         0,   0.014,tesseract-custom,4561bb20c9e4a2d5fe8cce0b923a8ba249a01e7aef7b5a0820b9c9eddc09e611,"{""basis"":""Z"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.0005623413251903491,""r"":24}",
      1024,         0,         0,   0.109,tesseract-custom,080be8e0b2b10e3f4a65499882fa22668934f1ed9b4000eb5651c5aa982fe5a0,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0005623413251903491,""r"":12}",
        17,         0,         0,   0.066,tesseract-custom,c6af0ec836b7c8eb22db8a16e45016ade0c6dfbfd06407375ef7fef152479909,"{""basis"":""Z"",""code_key"":""MM_486_24_12"",""code_name"":""MM [[486,24,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":24,""p"":0.00023713737056616554,""r"":24}",
      1024,         0,         0,   0.090,tesseract-custom,6493ee1b53f9ab5550a46c40cc7e9332a0d6bb62740562febfcb9183c7aed9a9,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.00023713737056616554,""r"":16}",
      3072,         0,         0,   0.090,tesseract-custom,72a19dbeb3a3fef19d70cfdabed6c5613b5eb06c743f28bdfa8efc759cd97628,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0001,""r"":12}",
         1,         1,         0,   0.378,tesseract-custom,284e10e7c9831a4c8a5d13f7fded476908bba01add9d93e0e39f9e98f2116433,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.1,""r"":16}",
      1024,         0,         0,   0.313,tesseract-custom,1fb688f00cb5a158e9b1d682c1f822b04c1b02d2b568867c410e23f6bc1a92ed,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.0005623413251903491,""r"":16}",
