dim,ell,exps,n,k,dx,dz,wx_min,wx_max,wz_min,wz_max
5,35,"[3, 8, 21, 23, 27]",350,10,13,6,8,8,6,6
5,35,"[2, 11, 13, 17, 19]",350,10,14,6,8,8,6,6
5,35,"[15, 16, 21, 22, 27]",350,10,15,7,8,8,6,6
5,35,"[2, 5, 11, 25, 28]",350,10,14,7,8,8,6,6
5,35,"[6, 8, 15, 18, 23]",350,10,14,6,8,8,6,6
5,35,"[7, 11, 23, 26, 33]",350,10,15,7,8,8,6,6
5,35,"[3, 9, 25, 27, 29]",350,10,15,6,8,8,6,6
5,35,"[1, 7, 17, 30, 32]",350,10,16,9,8,8,6,6
5,35,"[1, 8, 9, 14, 15]",350,10,15,8,8,8,6,6
5,35,"[4, 6, 9, 10, 32]",350,10,14,6,8,8,6,6
