dim,ell,exps,n,k,dx,dz,wx_min,wx_max,wz_min,wz_max
5,86,"[5, 9, 36, 38, 48]",860,10,20,6,8,8,6,6
5,86,"[29, 30, 57, 64, 80]",860,10,14,6,8,8,6,6
5,86,"[29, 30, 54, 66, 84]",860,10,21,9,8,8,6,6
5,86,"[15, 22, 31, 48, 52]",860,10,33,13,8,8,6,6
5,86,"[48, 56, 61, 63, 82]",860,10,30,11,8,8,6,6
5,86,"[17, 38, 45, 65, 79]",860,10,18,8,8,8,6,6
5,86,"[3, 10, 17, 25, 45]",860,10,32,12,8,8,6,6
5,86,"[12, 18, 20, 54, 63]",860,10,28,10,8,8,6,6
5,86,"[2, 26, 51, 56, 65]",860,10,20,7,8,8,6,6
5,86,"[3, 14, 15, 20, 34]",860,10,24,10,8,8,6,6
5,86,"[6, 15, 34, 44, 47]",860,10,43,13,8,8,6,6
5,86,"[10, 29, 42, 52, 66]",860,10,20,7,8,8,6,6
5,86,"[30, 36, 39, 42, 80]",860,10,19,7,8,8,6,6
5,86,"[23, 37, 38, 52, 59]",860,10,33,11,8,8,6,6
5,86,"[1, 47, 56, 67, 71]",860,10,38,10,8,8,6,6
5,86,"[7, 16, 35, 48, 50]",860,10,27,9,8,8,6,6
5,86,"[3, 4, 49, 61, 69]",860,10,40,13,8,8,6,6
5,86,"[5, 7, 55, 68, 69]",860,10,32,9,8,8,6,6
5,86,"[30, 32, 33, 48, 58]",860,10,22,8,8,8,6,6
5,86,"[4, 25, 34, 46, 56]",860,10,21,8,8,8,6,6
5,86,"[9, 15, 35, 57, 81]",860,10,34,11,8,8,6,6
5,86,"[27, 35, 37, 56, 72]",860,10,22,9,8,8,6,6
5,86,"[3, 24, 27, 48, 76]",860,10,15,7,8,8,6,6
5,86,"[13, 27, 60, 69, 72]",860,10,22,7,8,8,6,6
5,86,"[8, 20, 36, 42, 65]",860,10,23,8,8,8,6,6
5,86,"[13, 18, 27, 48, 64]",860,10,35,11,8,8,6,6
5,86,"[25, 43, 50, 56, 71]",860,10,22,6,8,8,6,6
5,86,"[6, 27, 61, 74, 83]",860,10,16,7,8,8,6,6
5,86,"[58, 64, 82, 83, 84]",860,10,26,9,8,8,6,6
5,86,"[5, 11, 15, 33, 60]",860,10,24,9,8,8,6,6
5,86,"[10, 21, 34, 37, 65]",860,10,18,6,8,8,6,6
5,86,"[36, 43, 65, 66, 78]",860,10,20,8,8,8,6,6
5,86,"[4, 17, 21, 73, 77]",860,10,14,7,8,8,6,6
5,86,"[14, 17, 19, 34, 82]",860,10,27,10,8,8,6,6
5,86,"[8, 11, 17, 32, 82]",860,10,33,10,8,8,6,6
5,86,"[30, 46, 65, 66, 67]",860,10,22,8,8,8,6,6
5,86,"[23, 32, 35, 72, 75]",860,10,28,12,8,8,6,6
5,86,"[5, 13, 20, 34, 61]",860,10,30,10,8,8,6,6
5,86,"[6, 19, 56, 60, 83]",860,10,31,9,8,8,6,6
5,86,"[28, 39, 59, 61, 72]",860,10,18,7,8,8,6,6
5,86,"[31, 34, 52, 57, 61]",860,10,24,8,8,8,6,6
5,86,"[9, 24, 36, 75, 81]",860,10,44,14,8,8,6,6
5,86,"[1, 14, 22, 71, 73]",860,10,20,7,8,8,6,6
5,86,"[35, 41, 45, 72, 75]",860,10,22,7,8,8,6,6
5,86,"[1, 6, 21, 45, 77]",860,10,39,12,8,8,6,6
5,86,"[1, 14, 59, 62, 83]",860,10,28,9,8,8,6,6
5,86,"[3, 24, 38, 42, 56]",860,10,24,9,8,8,6,6
5,86,"[38, 40, 44, 68, 79]",860,10,33,9,8,8,6,6
5,86,"[14, 16, 67, 70, 75]",860,10,19,7,8,8,6,6
