dim,ell,exps,n,k,dx,dz,wx_min,wx_max,wz_min,wz_max
5,92,"[12, 33, 76, 88, 90]",920,10,17,8,8,8,6,6
5,92,"[9, 27, 48, 75, 87]",920,10,24,10,8,8,6,6
5,92,"[24, 28, 32, 51, 78]",920,10,18,8,8,8,6,6
5,92,"[15, 23, 69, 77, 85]",920,10,8,4,8,8,6,6
5,92,"[15, 17, 24, 31, 42]",920,10,38,14,8,8,6,6
5,92,"[17, 32, 40, 64, 70]",920,10,29,10,8,8,6,6
5,92,"[27, 33, 58, 59, 72]",920,10,18,7,8,8,6,6
5,92,"[16, 28, 37, 46, 59]",920,10,24,6,8,8,6,6
5,92,"[46, 76, 77, 86, 89]",920,10,16,6,8,8,6,6
5,92,"[12, 51, 56, 59, 73]",920,10,40,13,8,8,6,6
5,92,"[18, 23, 41, 47, 73]",920,10,20,8,8,8,6,6
5,92,"[41, 43, 44, 46, 69]",920,10,12,4,8,8,6,6
5,92,"[11, 24, 30, 48, 67]",920,10,27,11,8,8,6,6
5,92,"[16, 17, 23, 41, 79]",920,10,36,12,8,8,6,6
5,92,"[6, 25, 38, 55, 73]",920,10,19,7,8,8,6,6
5,92,"[13, 22, 49, 54, 84]",920,10,24,10,8,8,6,6
5,92,"[27, 35, 39, 60, 74]",920,10,24,9,8,8,6,6
5,92,"[4, 7, 40, 70, 80]",920,10,23,10,8,8,6,6
5,92,"[14, 35, 59, 76, 85]",920,10,23,8,8,8,6,6
5,92,"[40, 43, 44, 66, 72]",920,10,20,8,8,8,6,6
5,92,"[3, 4, 51, 62, 78]",920,10,29,12,8,8,6,6
5,92,"[6, 7, 32, 45, 51]",920,10,26,10,8,8,6,6
5,92,"[13, 37, 39, 64, 68]",920,10,22,9,8,8,6,6
5,92,"[18, 19, 22, 46, 78]",920,10,16,6,8,8,6,6
5,92,"[29, 58, 75, 76, 88]",920,10,20,8,8,8,6,6
5,92,"[4, 10, 15, 62, 76]",920,10,24,10,8,8,6,6
5,92,"[3, 20, 25, 49, 79]",920,10,28,12,8,8,6,6
5,92,"[7, 8, 51, 73, 81]",920,10,26,9,8,8,6,6
5,92,"[12, 23, 24, 70, 90]",920,10,16,8,8,8,6,6
5,92,"[15, 25, 64, 70, 87]",920,10,23,9,8,8,6,6
5,92,"[4, 55, 59, 70, 82]",920,10,18,7,8,8,6,6
5,92,"[23, 33, 45, 54, 56]",920,10,28,8,8,8,6,6
5,92,"[21, 27, 36, 46, 80]",920,10,24,8,8,8,6,6
5,92,"[17, 38, 39, 44, 66]",920,10,30,11,8,8,6,6
5,92,"[6, 7, 11, 42, 52]",920,10,34,12,8,8,6,6
5,92,"[4, 25, 33, 44, 67]",920,10,17,6,8,8,6,6
5,92,"[5, 8, 45, 69, 77]",920,10,20,8,8,8,6,6
5,92,"[7, 11, 19, 35, 74]",920,10,32,10,8,8,6,6
5,92,"[67, 70, 84, 85, 86]",920,10,34,11,8,8,6,6
5,92,"[33, 35, 37, 49, 52]",920,10,43,12,8,8,6,6
5,92,"[6, 15, 26, 40, 48]",920,10,24,10,8,8,6,6
5,92,"[4, 49, 72, 84, 89]",920,10,26,8,8,8,6,6
5,92,"[6, 14, 17, 24, 44]",920,10,22,9,8,8,6,6
5,92,"[17, 53, 65, 66, 71]",920,10,29,10,8,8,6,6
5,92,"[5, 28, 29, 72, 82]",920,10,21,7,8,8,6,6
5,92,"[13, 35, 42, 59, 80]",920,10,30,13,8,8,6,6
5,92,"[4, 29, 52, 68, 70]",920,10,24,11,8,8,6,6
5,92,"[10, 35, 43, 80, 91]",920,10,28,13,8,8,6,6
5,92,"[1, 42, 43, 64, 85]",920,10,18,7,8,8,6,6
5,92,"[14, 17, 35, 54, 63]",920,10,34,13,8,8,6,6
5,93,"[4, 8, 27, 34, 85]",930,10,18,5,8,8,6,6
5,93,"[3, 4, 13, 23, 66]",930,10,29,11,8,8,6,6
5,93,"[1, 36, 46, 72, 90]",930,10,27,9,8,8,6,6
5,93,"[54, 64, 73, 82, 92]",930,10,26,12,8,8,6,6
5,93,"[23, 50, 53, 54, 60]",930,10,22,10,8,8,6,6
5,93,"[13, 14, 33, 43, 48]",930,10,36,13,8,8,6,6
5,93,"[8, 10, 29, 45, 80]",930,10,23,11,8,8,6,6
5,93,"[27, 50, 53, 67, 73]",930,10,17,8,8,8,6,6
5,93,"[15, 33, 43, 83, 91]",930,10,25,10,8,8,6,6
5,93,"[10, 13, 22, 47, 52]",930,10,48,15,8,8,6,6
5,93,"[8, 17, 48, 61, 88]",930,10,22,10,8,8,6,6
5,93,"[1, 9, 74, 85, 89]",930,10,22,8,8,8,6,6
5,93,"[1, 27, 40, 41, 72]",930,10,19,9,8,8,6,6
5,93,"[22, 28, 34, 66, 86]",930,10,29,11,8,8,6,6
5,93,"[2, 23, 29, 39, 43]",930,10,25,11,8,8,6,6
5,93,"[11, 38, 63, 73, 91]",930,10,34,13,8,8,6,6
5,93,"[25, 29, 38, 55, 57]",930,10,23,7,8,8,6,6
5,93,"[6, 8, 26, 47, 55]",930,10,26,11,8,8,6,6
5,93,"[42, 66, 67, 84, 91]",930,10,23,9,8,8,6,6
5,93,"[16, 63, 64, 71, 76]",930,10,28,10,8,8,6,6
5,93,"[8, 22, 38, 83, 88]",930,10,30,10,8,8,6,6
5,93,"[11, 37, 60, 62, 68]",930,10,21,6,8,8,6,6
5,93,"[6, 22, 29, 58, 69]",930,10,18,6,8,8,6,6
5,93,"[4, 8, 9, 19, 29]",930,10,31,11,8,8,6,6
5,93,"[16, 46, 48, 56, 70]",930,10,27,9,8,8,6,6
5,93,"[6, 52, 56, 80, 89]",930,10,26,10,8,8,6,6
5,93,"[7, 12, 16, 21, 58]",930,10,20,9,8,8,6,6
5,93,"[6, 12, 55, 61, 87]",930,10,9,4,8,8,6,6
5,93,"[16, 49, 72, 77, 83]",930,10,19,7,8,8,6,6
5,93,"[28, 51, 54, 72, 87]",930,10,22,10,8,8,6,6
5,93,"[7, 35, 54, 86, 91]",930,10,20,7,8,8,6,6
5,93,"[11, 17, 42, 49, 76]",930,10,19,5,8,8,6,6
5,93,"[8, 24, 32, 34, 92]",930,10,26,8,8,8,6,6
5,93,"[45, 47, 72, 77, 83]",930,10,30,12,8,8,6,6
5,93,"[20, 30, 59, 68, 88]",930,10,16,7,8,8,6,6
5,93,"[2, 29, 46, 61, 64]",930,10,18,5,8,8,6,6
5,93,"[15, 33, 39, 46, 92]",930,10,24,9,8,8,6,6
5,93,"[14, 21, 27, 53, 86]",930,10,20,6,8,8,6,6
5,93,"[9, 18, 41, 46, 73]",930,10,26,9,8,8,6,6
5,93,"[36, 56, 58, 81, 85]",930,10,28,12,8,8,6,6
5,93,"[8, 25, 27, 81, 89]",930,10,21,6,8,8,6,6
5,93,"[15, 21, 35, 58, 78]",930,10,16,4,8,8,6,6
5,93,"[14, 43, 44, 52, 69]",930,10,36,13,8,8,6,6
5,93,"[8, 13, 30, 33, 79]",930,10,27,10,8,8,6,6
5,93,"[3, 13, 24, 56, 59]",930,10,23,8,8,8,6,6
5,93,"[1, 22, 47, 53, 71]",930,10,16,6,8,8,6,6
5,93,"[7, 46, 78, 81, 85]",930,10,24,10,8,8,6,6
5,93,"[1, 42, 72, 75, 90]",930,10,18,7,8,8,6,6
5,93,"[7, 10, 16, 64, 72]",930,10,45,13,8,8,6,6
5,93,"[21, 33, 85, 89, 91]",930,10,20,7,8,8,6,6
