dim,ell,exps,n,k,dx,dz,wx_min,wx_max,wz_min,wz_max
5,95,"[17, 23, 33, 36, 54]",950,10,23,9,8,8,6,6
5,95,"[19, 39, 43, 45, 92]",950,10,39,14,8,8,6,6
5,95,"[9, 51, 58, 69, 94]",950,10,29,12,8,8,6,6
5,95,"[38, 58, 61, 75, 87]",950,10,34,10,8,8,6,6
5,95,"[14, 19, 30, 42, 78]",950,10,30,12,8,8,6,6
5,95,"[2, 18, 48, 78, 79]",950,10,23,9,8,8,6,6
5,95,"[7, 11, 27, 86, 93]",950,10,16,7,8,8,6,6
5,95,"[24, 28, 39, 50, 76]",950,10,25,8,8,8,6,6
5,95,"[29, 41, 42, 52, 57]",950,10,32,12,8,8,6,6
5,95,"[5, 24, 27, 53, 61]",950,10,22,10,8,8,6,6
5,95,"[29, 31, 55, 72, 79]",950,10,24,12,8,8,6,6
5,95,"[27, 28, 54, 77, 84]",950,10,27,9,8,8,6,6
5,95,"[25, 38, 49, 64, 86]",950,10,36,13,8,8,6,6
5,95,"[12, 14, 16, 55, 77]",950,10,24,10,8,8,6,6
5,95,"[10, 41, 62, 70, 80]",950,10,19,10,8,8,6,6
5,95,"[4, 5, 36, 45, 90]",950,10,13,5,8,8,6,6
5,95,"[12, 17, 56, 70, 83]",950,10,17,6,8,8,6,6
5,95,"[32, 34, 69, 74, 94]",950,10,32,11,8,8,6,6
5,95,"[24, 32, 52, 53, 55]",950,10,30,12,8,8,6,6
5,95,"[1, 23, 24, 35, 78]",950,10,21,8,8,8,6,6
5,95,"[16, 31, 66, 68, 72]",950,10,25,12,8,8,6,6
5,95,"[2, 4, 7, 13, 20]",950,10,21,9,8,8,6,6
5,95,"[3, 18, 39, 70, 86]",950,10,23,10,8,8,6,6
5,95,"[1, 40, 64, 70, 89]",950,10,26,10,8,8,6,6
5,95,"[18, 20, 34, 52, 67]",950,10,23,8,8,8,6,6
5,95,"[30, 50, 69, 84, 85]",950,10,19,9,8,8,6,6
5,95,"[7, 18, 42, 56, 80]",950,10,26,12,8,8,6,6
5,95,"[4, 5, 26, 37, 44]",950,10,35,13,8,8,6,6
5,95,"[21, 78, 87, 90, 91]",950,10,17,7,8,8,6,6
5,95,"[5, 21, 46, 56, 73]",950,10,20,9,8,8,6,6
