ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
12,"[3, 7, 8, 10]",72,6,6,6,6,6.0,6,6,6.0,6
12,"[2, 4, 8, 10]",72,12,3,3,6,6.0,6,6,6.0,6
12,"[3, 6, 9, 11]",72,6,4,4,6,6.0,6,6,6.0,6
12,"[2, 3, 10, 11]",72,6,5,5,6,6.0,6,6,6.0,6
12,"[1, 3, 5, 9]",72,6,4,4,6,6.0,6,6,6.0,6
12,"[3, 4, 9, 11]",72,6,4,4,6,6.0,6,6,6.0,6
12,"[5, 9, 10, 11]",72,6,6,6,6,6.0,6,6,6.0,6
12,"[1, 3, 5, 11]",72,6,5,5,6,6.0,6,6,6.0,6
12,"[5, 6, 8, 10]",72,6,4,4,6,6.0,6,6,6.0,6
12,"[1, 6, 7, 9]",72,6,4,4,6,6.0,6,6,6.0,6
12,"[5, 6, 8, 10]",72,6,4,4,6,6.0,6,6,6.0,6
12,"[2, 5, 7, 9]",72,6,4,4,6,6.0,6,6,6.0,6
12,"[5, 6, 7, 10]",72,6,4,4,6,6.0,6,6,6.0,6
12,"[4, 5, 8, 9]",72,6,3,3,6,6.0,6,6,6.0,6
12,"[5, 7, 9, 10]",72,6,4,4,6,6.0,6,6,6.0,6
12,"[2, 4, 9, 11]",72,6,6,6,6,6.0,6,6,6.0,6
12,"[1, 4, 6, 10]",72,6,4,4,6,6.0,6,6,6.0,6
12,"[2, 6, 8, 10]",72,12,4,4,6,6.0,6,6,6.0,6
12,"[1, 2, 4, 7]",72,6,6,6,6,6.0,6,6,6.0,6
12,"[2, 5, 8, 10]",72,6,4,4,6,6.0,6,6,6.0,6
