ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
21,"[4, 6, 7, 10]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[10, 13, 14, 15]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[6, 14, 17, 20]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[7, 10, 13, 18]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[3, 6, 12, 19]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[9, 15, 19, 20]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[2, 7, 10, 19]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[2, 3, 10, 19]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[6, 9, 15, 16]",126,6,4,4,6,6.0,6,6,6.0,6
21,"[7, 13, 17, 18]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[4, 9, 15, 16]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[1, 15, 17, 19]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[3, 7, 11, 17]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[5, 8, 16, 18]",126,6,5,5,6,6.0,6,6,6.0,6
21,"[1, 4, 14, 20]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[4, 8, 11, 18]",126,6,8,8,6,6.0,6,6,6.0,6
21,"[4, 8, 15, 19]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[3, 4, 9, 19]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[6, 9, 14, 15]",126,6,4,4,6,6.0,6,6,6.0,6
21,"[4, 7, 14, 18]",126,6,3,3,6,6.0,6,6,6.0,6
21,"[1, 4, 13, 17]",126,6,4,4,6,6.0,6,6,6.0,6
21,"[2, 3, 10, 12]",126,6,7,7,6,6.0,6,6,6.0,6
