ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
34,"[17, 19, 21, 30]",204,6,4,4,6,6.0,6,6,6.0,6
34,"[2, 16, 21, 25]",204,6,7,7,6,6.0,6,6,6.0,6
34,"[3, 6, 22, 26]",204,6,7,7,6,6.0,6,6,6.0,6
34,"[5, 14, 27, 28]",204,6,7,7,6,6.0,6,6,6.0,6
34,"[1, 2, 14, 18]",204,6,6,6,6,6.0,6,6,6.0,6
34,"[6, 11, 19, 26]",204,6,8,8,6,6.0,6,6,6.0,6
34,"[1, 4, 14, 31]",204,6,8,8,6,6.0,6,6,6.0,6
34,"[15, 22, 26, 32]",204,6,9,9,6,6.0,6,6,6.0,6
34,"[1, 9, 20, 30]",204,6,10,10,6,6.0,6,6,6.0,6
34,"[9, 14, 20, 30]",204,6,7,7,6,6.0,6,6,6.0,6
