ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
35,"[2, 6, 11, 20]",210,6,9,9,6,6.0,6,6,6.0,6
35,"[4, 30, 32, 34]",210,6,7,7,6,6.0,6,6,6.0,6
35,"[20, 27, 29, 33]",210,6,8,8,6,6.0,6,6,6.0,6
35,"[10, 18, 29, 32]",210,6,9,9,6,6.0,6,6,6.0,6
35,"[10, 17, 18, 24]",210,6,6,6,6,6.0,6,6,6.0,6
35,"[7, 11, 31, 32]",210,6,7,7,6,6.0,6,6,6.0,6
35,"[2, 15, 21, 34]",210,6,7,7,6,6.0,6,6,6.0,6
35,"[3, 6, 15, 23]",210,6,7,7,6,6.0,6,6,6.0,6
35,"[12, 18, 19, 24]",210,6,9,9,6,6.0,6,6,6.0,6
35,"[6, 10, 25, 32]",210,6,6,6,6,6.0,6,6,6.0,6
