ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
17,"[2, 4, 5, 9]",102,6,6,6,6,6.0,6,6,6.0,6
17,"[2, 9, 12, 14]",102,6,7,7,6,6.0,6,6,6.0,6
17,"[1, 2, 4, 12]",102,6,7,7,6,6.0,6,6,6.0,6
17,"[1, 7, 8, 11]",102,6,6,6,6,6.0,6,6,6.0,6
17,"[4, 8, 9, 11]",102,6,5,5,6,6.0,6,6,6.0,6
17,"[1, 7, 11, 14]",102,6,7,7,6,6.0,6,6,6.0,6
17,"[1, 7, 12, 15]",102,6,6,6,6,6.0,6,6,6.0,6
17,"[7, 10, 14, 16]",102,6,4,4,6,6.0,6,6,6.0,6
17,"[1, 2, 7, 14]",102,6,6,6,6,6.0,6,6,6.0,6
17,"[1, 5, 7, 14]",102,6,7,7,6,6.0,6,6,6.0,6
17,"[6, 8, 9, 11]",102,6,4,4,6,6.0,6,6,6.0,6
17,"[2, 4, 9, 15]",102,6,4,4,6,6.0,6,6,6.0,6
17,"[6, 10, 12, 13]",102,6,7,7,6,6.0,6,6,6.0,6
17,"[6, 8, 9, 15]",102,6,5,5,6,6.0,6,6,6.0,6
17,"[2, 3, 8, 11]",102,6,6,6,6,6.0,6,6,6.0,6
17,"[5, 7, 14, 15]",102,6,6,6,6,6.0,6,6,6.0,6
17,"[6, 10, 11, 15]",102,6,6,6,6,6.0,6,6,6.0,6
17,"[3, 4, 11, 13]",102,6,6,6,6,6.0,6,6,6.0,6
17,"[1, 5, 13, 14]",102,6,7,7,6,6.0,6,6,6.0,6
17,"[3, 10, 11, 13]",102,6,6,6,6,6.0,6,6,6.0,6
