dim,ell,exps,n,k,dx,dz,wx_min,wx_max,wz_min,wz_max
4,60,"[10, 37, 49, 59]",360,6,9,9,6,6,6,6
4,60,"[1, 3, 30, 47]",360,6,8,8,6,6,6,6
4,60,"[12, 31, 39, 40]",360,6,9,9,6,6,6,6
4,60,"[21, 40, 47, 53]",360,6,6,6,6,6,6,6
4,60,"[8, 16, 17, 28]",360,6,7,7,6,6,6,6
4,60,"[13, 32, 37, 42]",360,6,10,10,6,6,6,6
4,60,"[3, 4, 8, 35]",360,6,13,13,6,6,6,6
4,60,"[11, 25, 42, 46]",360,6,9,9,6,6,6,6
4,60,"[1, 16, 23, 25]",360,6,14,14,6,6,6,6
4,60,"[22, 42, 45, 58]",360,6,9,9,6,6,6,6
4,60,"[2, 9, 12, 49]",360,6,12,12,6,6,6,6
4,60,"[11, 34, 45, 50]",360,6,8,8,6,6,6,6
4,60,"[4, 7, 21, 31]",360,6,12,12,6,6,6,6
4,60,"[1, 13, 15, 30]",360,6,4,4,6,6,6,6
4,60,"[1, 14, 20, 30]",360,6,6,6,6,6,6,6
4,60,"[14, 19, 25, 28]",360,6,11,11,6,6,6,6
4,60,"[9, 23, 32, 50]",360,6,8,8,6,6,6,6
4,60,"[1, 3, 31, 41]",360,6,10,10,6,6,6,6
4,60,"[3, 25, 49, 58]",360,6,13,13,6,6,6,6
4,60,"[18, 27, 54, 58]",360,6,9,9,6,6,6,6
4,60,"[5, 52, 56, 57]",360,6,8,8,6,6,6,6
4,60,"[15, 32, 39, 52]",360,6,12,12,6,6,6,6
4,60,"[11, 15, 31, 51]",360,6,9,9,6,6,6,6
4,60,"[20, 21, 22, 40]",360,6,3,3,6,6,6,6
4,60,"[14, 49, 52, 56]",360,6,11,11,6,6,6,6
4,60,"[7, 10, 27, 59]",360,6,12,12,6,6,6,6
4,60,"[5, 24, 28, 58]",360,6,10,10,6,6,6,6
4,60,"[16, 19, 31, 45]",360,6,8,8,6,6,6,6
4,60,"[17, 24, 52, 58]",360,6,12,12,6,6,6,6
4,60,"[2, 9, 37, 43]",360,6,13,13,6,6,6,6
4,60,"[15, 17, 35, 59]",360,6,12,12,6,6,6,6
4,60,"[7, 29, 38, 53]",360,6,5,5,6,6,6,6
4,60,"[11, 22, 47, 52]",360,6,10,10,6,6,6,6
4,60,"[7, 9, 32, 55]",360,6,12,12,6,6,6,6
4,60,"[1, 11, 29, 46]",360,6,12,12,6,6,6,6
4,60,"[19, 23, 25, 34]",360,6,15,15,6,6,6,6
4,60,"[8, 36, 39, 59]",360,6,13,13,6,6,6,6
4,60,"[5, 19, 31, 59]",360,6,14,14,6,6,6,6
4,60,"[5, 30, 43, 55]",360,6,4,4,6,6,6,6
4,60,"[5, 13, 18, 26]",360,6,7,7,6,6,6,6
4,60,"[5, 10, 45, 55]",360,30,4,4,6,6,6,6
4,60,"[1, 10, 13, 42]",360,6,16,16,6,6,6,6
4,60,"[8, 36, 55, 58]",360,6,13,13,6,6,6,6
4,60,"[5, 12, 33, 52]",360,6,15,15,6,6,6,6
4,60,"[13, 39, 46, 59]",360,6,9,9,6,6,6,6
4,60,"[14, 23, 34, 41]",360,6,10,10,6,6,6,6
4,60,"[3, 28, 33, 45]",360,6,8,8,6,6,6,6
4,60,"[20, 22, 33, 37]",360,6,12,12,6,6,6,6
4,60,"[27, 38, 39, 59]",360,6,11,11,6,6,6,6
4,60,"[1, 36, 48, 58]",360,6,5,5,6,6,6,6
