dim,ell,exps,n,k,dx,dz,wx_min,wx_max,wz_min,wz_max
4,61,"[15, 26, 35, 38]",366,6,6,6,6,6,6,6
4,61,"[34, 42, 51, 60]",366,6,13,13,6,6,6,6
4,61,"[10, 17, 26, 60]",366,6,10,10,6,6,6,6
4,61,"[13, 29, 46, 50]",366,6,12,12,6,6,6,6
4,61,"[6, 19, 32, 41]",366,6,12,12,6,6,6,6
4,61,"[1, 12, 28, 30]",366,6,8,8,6,6,6,6
4,61,"[13, 28, 36, 39]",366,6,11,11,6,6,6,6
4,61,"[30, 38, 47, 48]",366,6,15,15,6,6,6,6
4,61,"[24, 31, 49, 58]",366,6,11,11,6,6,6,6
4,61,"[7, 15, 26, 29]",366,6,13,13,6,6,6,6
4,61,"[5, 30, 35, 42]",366,6,11,11,6,6,6,6
4,61,"[49, 53, 58, 60]",366,6,11,11,6,6,6,6
4,61,"[6, 38, 40, 45]",366,6,13,13,6,6,6,6
4,61,"[12, 29, 31, 39]",366,6,13,13,6,6,6,6
4,61,"[13, 39, 40, 51]",366,6,15,15,6,6,6,6
4,61,"[5, 23, 41, 51]",366,6,7,7,6,6,6,6
4,61,"[4, 12, 36, 41]",366,6,9,9,6,6,6,6
4,61,"[9, 13, 25, 44]",366,6,11,11,6,6,6,6
4,61,"[3, 8, 12, 22]",366,6,15,15,6,6,6,6
4,61,"[17, 21, 33, 34]",366,6,10,10,6,6,6,6
4,61,"[27, 32, 50, 54]",366,6,11,11,6,6,6,6
4,61,"[31, 44, 45, 57]",366,6,12,12,6,6,6,6
4,61,"[6, 27, 30, 44]",366,6,11,11,6,6,6,6
4,61,"[5, 13, 30, 48]",366,6,6,6,6,6,6,6
4,61,"[27, 35, 55, 59]",366,6,12,12,6,6,6,6
4,61,"[8, 11, 16, 57]",366,6,7,7,6,6,6,6
4,61,"[6, 24, 29, 58]",366,6,7,7,6,6,6,6
4,61,"[19, 29, 40, 52]",366,6,10,10,6,6,6,6
4,61,"[26, 31, 50, 57]",366,6,10,10,6,6,6,6
4,61,"[14, 16, 30, 41]",366,6,10,10,6,6,6,6
4,61,"[2, 14, 20, 46]",366,6,14,14,6,6,6,6
4,61,"[10, 16, 35, 52]",366,6,7,7,6,6,6,6
4,61,"[8, 32, 34, 41]",366,6,14,14,6,6,6,6
4,61,"[7, 17, 24, 33]",366,6,10,10,6,6,6,6
4,61,"[3, 10, 11, 22]",366,6,11,11,6,6,6,6
4,61,"[7, 8, 9, 25]",366,6,11,11,6,6,6,6
4,61,"[8, 15, 39, 52]",366,6,11,11,6,6,6,6
4,61,"[10, 15, 21, 32]",366,6,13,13,6,6,6,6
4,61,"[9, 45, 50, 53]",366,6,12,12,6,6,6,6
4,61,"[3, 6, 18, 54]",366,6,9,9,6,6,6,6
4,61,"[7, 33, 39, 53]",366,6,12,12,6,6,6,6
4,61,"[4, 14, 39, 52]",366,6,11,11,6,6,6,6
4,61,"[17, 30, 38, 39]",366,6,10,10,6,6,6,6
4,61,"[12, 22, 34, 38]",366,6,10,10,6,6,6,6
4,61,"[23, 29, 36, 43]",366,6,8,8,6,6,6,6
4,61,"[9, 23, 29, 42]",366,6,8,8,6,6,6,6
4,61,"[10, 13, 27, 46]",366,6,15,15,6,6,6,6
4,61,"[18, 21, 22, 60]",366,6,7,7,6,6,6,6
4,61,"[5, 39, 43, 50]",366,6,9,9,6,6,6,6
4,61,"[18, 24, 45, 58]",366,6,10,10,6,6,6,6
4,62,"[2, 39, 45, 46]",372,6,11,11,6,6,6,6
4,62,"[2, 8, 23, 50]",372,6,11,11,6,6,6,6
4,62,"[33, 37, 46, 53]",372,6,11,11,6,6,6,6
4,62,"[42, 46, 55, 57]",372,6,16,16,6,6,6,6
4,62,"[47, 51, 53, 56]",372,6,10,10,6,6,6,6
4,62,"[8, 12, 32, 44]",372,12,9,9,6,6,6,6
4,62,"[20, 31, 39, 40]",372,6,6,6,6,6,6,6
4,62,"[19, 20, 27, 57]",372,6,12,12,6,6,6,6
4,62,"[29, 47, 50, 53]",372,6,11,11,6,6,6,6
4,62,"[4, 24, 31, 51]",372,6,6,6,6,6,6,6
4,62,"[6, 34, 57, 58]",372,6,11,11,6,6,6,6
4,62,"[35, 42, 56, 58]",372,6,14,14,6,6,6,6
4,62,"[33, 40, 43, 55]",372,6,9,9,6,6,6,6
4,62,"[9, 10, 36, 47]",372,6,11,11,6,6,6,6
4,62,"[4, 5, 16, 35]",372,6,12,12,6,6,6,6
4,62,"[6, 45, 49, 59]",372,6,12,12,6,6,6,6
4,62,"[36, 40, 43, 59]",372,6,11,11,6,6,6,6
4,62,"[7, 53, 56, 59]",372,6,6,6,6,6,6,6
4,62,"[12, 19, 25, 51]",372,6,10,10,6,6,6,6
4,62,"[2, 30, 50, 58]",372,12,7,7,6,6,6,6
4,62,"[1, 14, 35, 46]",372,6,12,12,6,6,6,6
4,62,"[10, 45, 54, 61]",372,6,10,10,6,6,6,6
4,62,"[8, 13, 23, 28]",372,6,10,10,6,6,6,6
4,62,"[28, 40, 57, 58]",372,6,13,13,6,6,6,6
4,62,"[37, 43, 45, 51]",372,6,12,12,6,6,6,6
