dim,ell,exps,n,k,dx,dz,wx_min,wx_max,wz_min,wz_max
4,36,"[2, 9, 16, 27]",216,6,4,4,6,6,6,6
4,36,"[1, 17, 26, 27]",216,6,7,7,6,6,6,6
4,36,"[6, 12, 20, 27]",216,6,6,6,6,6,6,6
4,36,"[2, 3, 14, 21]",216,6,11,11,6,6,6,6
4,36,"[5, 8, 10, 31]",216,6,4,4,6,6,6,6
4,36,"[10, 17, 24, 33]",216,6,9,9,6,6,6,6
4,36,"[14, 17, 28, 31]",216,6,7,7,6,6,6,6
4,36,"[6, 7, 17, 19]",216,6,7,7,6,6,6,6
4,36,"[2, 8, 20, 27]",216,6,8,8,6,6,6,6
4,36,"[7, 13, 31, 35]",216,6,10,10,6,6,6,6
4,36,"[6, 11, 18, 21]",216,6,6,6,6,6,6,6
4,36,"[14, 18, 29, 33]",216,6,6,6,6,6,6,6
4,36,"[4, 9, 10, 27]",216,6,4,4,6,6,6,6
4,36,"[16, 18, 21, 24]",216,6,6,6,6,6,6,6
4,36,"[6, 27, 29, 30]",216,6,6,6,6,6,6,6
4,36,"[8, 18, 28, 33]",216,6,4,4,6,6,6,6
4,36,"[5, 8, 12, 16]",216,6,6,6,6,6,6,6
4,36,"[1, 15, 28, 32]",216,6,9,9,6,6,6,6
4,36,"[8, 12, 22, 34]",216,12,6,6,6,6,6,6
4,36,"[11, 16, 25, 27]",216,6,5,5,6,6,6,6
4,36,"[11, 22, 28, 33]",216,6,6,6,6,6,6,6
4,36,"[6, 17, 21, 30]",216,6,5,5,6,6,6,6
4,36,"[4, 9, 15, 27]",216,6,4,4,6,6,6,6
4,36,"[2, 3, 17, 34]",216,6,5,5,6,6,6,6
4,36,"[8, 9, 30, 32]",216,6,9,9,6,6,6,6
4,36,"[13, 22, 29, 31]",216,6,10,10,6,6,6,6
4,36,"[12, 16, 31, 34]",216,6,9,9,6,6,6,6
4,36,"[3, 16, 21, 26]",216,6,9,9,6,6,6,6
4,36,"[5, 11, 29, 31]",216,6,7,7,6,6,6,6
4,36,"[1, 15, 31, 32]",216,6,9,9,6,6,6,6
4,36,"[1, 2, 13, 16]",216,6,9,9,6,6,6,6
4,36,"[1, 7, 8, 26]",216,6,9,9,6,6,6,6
4,36,"[7, 9, 23, 28]",216,6,11,11,6,6,6,6
4,36,"[3, 21, 26, 35]",216,6,12,12,6,6,6,6
4,36,"[18, 27, 30, 32]",216,6,4,4,6,6,6,6
4,36,"[14, 24, 26, 29]",216,6,6,6,6,6,6,6
4,36,"[11, 17, 19, 30]",216,6,5,5,6,6,6,6
4,36,"[9, 12, 13, 15]",216,6,6,6,6,6,6,6
4,36,"[5, 6, 22, 28]",216,6,6,6,6,6,6,6
4,36,"[5, 11, 19, 29]",216,6,9,9,6,6,6,6
4,36,"[5, 9, 17, 22]",216,6,7,7,6,6,6,6
4,36,"[2, 7, 10, 16]",216,6,10,10,6,6,6,6
4,36,"[1, 11, 25, 32]",216,6,7,7,6,6,6,6
4,36,"[1, 21, 23, 30]",216,6,10,10,6,6,6,6
4,36,"[1, 13, 27, 30]",216,6,12,12,6,6,6,6
4,36,"[6, 15, 21, 29]",216,6,4,4,6,6,6,6
4,36,"[12, 16, 17, 25]",216,6,9,9,6,6,6,6
4,36,"[6, 10, 13, 32]",216,6,8,8,6,6,6,6
4,36,"[6, 10, 19, 30]",216,6,6,6,6,6,6,6
4,36,"[7, 16, 18, 33]",216,6,8,8,6,6,6,6
4,37,"[4, 12, 13, 14]",222,6,8,8,6,6,6,6
4,37,"[8, 13, 16, 33]",222,6,6,6,6,6,6,6
4,37,"[1, 9, 11, 14]",222,6,10,10,6,6,6,6
4,37,"[1, 20, 26, 35]",222,6,9,9,6,6,6,6
4,37,"[14, 15, 26, 29]",222,6,8,8,6,6,6,6
4,37,"[9, 17, 22, 26]",222,6,7,7,6,6,6,6
4,37,"[6, 10, 24, 30]",222,6,9,9,6,6,6,6
4,37,"[4, 17, 22, 34]",222,6,11,11,6,6,6,6
4,37,"[6, 16, 26, 32]",222,6,6,6,6,6,6,6
4,37,"[15, 19, 24, 30]",222,6,11,11,6,6,6,6
4,37,"[18, 20, 25, 26]",222,6,10,10,6,6,6,6
4,37,"[7, 10, 20, 31]",222,6,6,6,6,6,6,6
4,37,"[14, 20, 27, 31]",222,6,8,8,6,6,6,6
4,37,"[3, 11, 33, 35]",222,6,9,9,6,6,6,6
4,37,"[19, 25, 32, 35]",222,6,10,10,6,6,6,6
4,37,"[3, 8, 33, 35]",222,6,7,7,6,6,6,6
4,37,"[4, 15, 16, 20]",222,6,9,9,6,6,6,6
4,37,"[3, 4, 12, 35]",222,6,9,9,6,6,6,6
4,37,"[3, 8, 21, 26]",222,6,7,7,6,6,6,6
4,37,"[12, 14, 18, 24]",222,6,8,8,6,6,6,6
4,37,"[12, 13, 14, 18]",222,6,8,8,6,6,6,6
4,37,"[5, 6, 7, 22]",222,6,10,10,6,6,6,6
4,37,"[14, 16, 25, 31]",222,6,11,11,6,6,6,6
4,37,"[9, 10, 11, 36]",222,6,7,7,6,6,6,6
4,37,"[15, 21, 29, 31]",222,6,8,8,6,6,6,6
4,37,"[1, 7, 8, 24]",222,6,9,9,6,6,6,6
4,37,"[11, 12, 22, 36]",222,6,7,7,6,6,6,6
4,37,"[21, 22, 26, 29]",222,6,9,9,6,6,6,6
4,37,"[4, 5, 20, 33]",222,6,7,7,6,6,6,6
4,37,"[9, 13, 25, 31]",222,6,7,7,6,6,6,6
4,37,"[7, 15, 18, 33]",222,6,7,7,6,6,6,6
4,37,"[14, 17, 27, 32]",222,6,7,7,6,6,6,6
