ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
37,"[1, 11, 26, 34]",222,6,7,7,6,6.0,6,6,6.0,6
37,"[5, 10, 32, 34]",222,6,4,4,6,6.0,6,6,6.0,6
37,"[12, 21, 24, 36]",222,6,6,6,6,6.0,6,6,6.0,6
37,"[13, 28, 32, 35]",222,6,9,9,6,6.0,6,6,6.0,6
37,"[14, 17, 22, 24]",222,6,12,12,6,6.0,6,6,6.0,6
37,"[8, 24, 26, 36]",222,6,9,9,6,6.0,6,6,6.0,6
37,"[14, 17, 19, 29]",222,6,11,11,6,6.0,6,6,6.0,6
37,"[21, 23, 25, 31]",222,6,11,11,6,6.0,6,6,6.0,6
37,"[16, 27, 28, 32]",222,6,7,7,6,6.0,6,6,6.0,6
37,"[8, 15, 24, 35]",222,6,8,8,6,6.0,6,6,6.0,6
