ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
13,"[4, 5, 10, 12]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[4, 5, 7, 10]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[1, 3, 10, 11]",78,6,5,5,6,6.0,6,6,6.0,6
13,"[4, 5, 7, 11]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[4, 10, 11, 12]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[4, 5, 9, 10]",78,6,4,4,6,6.0,6,6,6.0,6
13,"[4, 9, 11, 12]",78,6,5,5,6,6.0,6,6,6.0,6
13,"[1, 4, 9, 12]",78,6,4,4,6,6.0,6,6,6.0,6
13,"[3, 5, 6, 10]",78,6,4,4,6,6.0,6,6,6.0,6
13,"[3, 5, 7, 11]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[1, 2, 5, 10]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[2, 4, 5, 9]",78,6,4,4,6,6.0,6,6,6.0,6
13,"[2, 5, 7, 9]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[2, 4, 6, 8]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[5, 6, 11, 12]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[2, 7, 8, 12]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[1, 4, 6, 8]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[2, 5, 9, 12]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[2, 4, 10, 12]",78,6,6,6,6,6.0,6,6,6.0,6
13,"[6, 7, 9, 10]",78,6,5,5,6,6.0,6,6,6.0,6
