ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
36,"[10, 11, 24, 25]",216,6,6,6,6,6.0,6,6,6.0,6
36,"[6, 18, 24, 32]",216,12,4,4,6,6.0,6,6,6.0,6
36,"[3, 24, 25, 28]",216,6,8,8,6,6.0,6,6,6.0,6
36,"[7, 24, 34, 35]",216,6,9,9,6,6.0,6,6,6.0,6
36,"[9, 12, 15, 22]",216,6,6,6,6,6.0,6,6,6.0,6
36,"[3, 18, 26, 32]",216,6,6,6,6,6.0,6,6,6.0,6
36,"[6, 12, 13, 17]",216,6,6,6,6,6.0,6,6,6.0,6
36,"[3, 7, 12, 13]",216,6,9,9,6,6.0,6,6,6.0,6
36,"[3, 6, 7, 20]",216,6,9,9,6,6.0,6,6,6.0,6
36,"[3, 4, 5, 18]",216,6,8,8,6,6.0,6,6,6.0,6
