ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
19,"[2, 3, 5, 7]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[6, 13, 16, 17]",114,6,5,5,6,6.0,6,6,6.0,6
19,"[1, 5, 9, 18]",114,6,5,5,6,6.0,6,6,6.0,6
19,"[1, 2, 3, 17]",114,6,5,5,6,6.0,6,6,6.0,6
19,"[1, 6, 9, 14]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[2, 10, 12, 14]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[7, 11, 14, 17]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[4, 11, 12, 18]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[4, 5, 9, 15]",114,6,5,5,6,6.0,6,6,6.0,6
19,"[2, 3, 8, 12]",114,6,8,8,6,6.0,6,6,6.0,6
19,"[7, 8, 9, 16]",114,6,8,8,6,6.0,6,6,6.0,6
19,"[4, 11, 13, 15]",114,6,4,4,6,6.0,6,6,6.0,6
19,"[10, 11, 15, 17]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[3, 4, 5, 7]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[2, 3, 4, 17]",114,6,4,4,6,6.0,6,6,6.0,6
19,"[11, 12, 15, 17]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[1, 4, 6, 9]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[4, 8, 9, 11]",114,6,5,5,6,6.0,6,6,6.0,6
19,"[1, 8, 11, 16]",114,6,4,4,6,6.0,6,6,6.0,6
19,"[3, 12, 13, 14]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[5, 12, 14, 15]",114,6,5,5,6,6.0,6,6,6.0,6
19,"[2, 3, 4, 5]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[3, 5, 13, 14]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[6, 9, 15, 16]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[1, 3, 6, 16]",114,6,4,4,6,6.0,6,6,6.0,6
19,"[10, 12, 14, 17]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[1, 5, 8, 15]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[1, 3, 12, 15]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[2, 7, 9, 16]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[1, 4, 7, 8]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[6, 11, 15, 16]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[3, 4, 8, 10]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[5, 7, 12, 13]",114,6,4,4,6,6.0,6,6,6.0,6
19,"[4, 6, 14, 16]",114,6,8,8,6,6.0,6,6,6.0,6
19,"[9, 14, 16, 17]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[2, 3, 6, 14]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[1, 3, 5, 6]",114,6,8,8,6,6.0,6,6,6.0,6
19,"[3, 14, 17, 18]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[10, 11, 14, 15]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[2, 10, 15, 16]",114,6,8,8,6,6.0,6,6,6.0,6
19,"[6, 10, 13, 18]",114,6,5,5,6,6.0,6,6,6.0,6
19,"[1, 2, 8, 13]",114,6,8,8,6,6.0,6,6,6.0,6
19,"[1, 7, 9, 14]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[2, 6, 10, 11]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[7, 8, 11, 13]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[4, 6, 8, 18]",114,6,8,8,6,6.0,6,6,6.0,6
19,"[2, 3, 4, 5]",114,6,7,7,6,6.0,6,6,6.0,6
19,"[1, 4, 7, 11]",114,6,6,6,6,6.0,6,6,6.0,6
19,"[3, 6, 11, 13]",114,6,5,5,6,6.0,6,6,6.0,6
19,"[8, 13, 14, 15]",114,6,8,8,6,6.0,6,6,6.0,6
