ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
14,"[1, 4, 10, 11]",84,6,5,5,6,6.0,6,6,6.0,6
14,"[1, 5, 7, 11]",84,6,6,6,6,6.0,6,6,6.0,6
14,"[6, 9, 11, 12]",84,6,6,6,6,6.0,6,6,6.0,6
14,"[1, 4, 8, 13]",84,6,6,6,6,6.0,6,6,6.0,6
14,"[4, 6, 7, 8]",84,6,4,4,6,6.0,6,6,6.0,6
14,"[5, 6, 8, 11]",84,6,5,5,6,6.0,6,6,6.0,6
14,"[5, 7, 11, 13]",84,6,6,6,6,6.0,6,6,6.0,6
14,"[2, 8, 10, 12]",84,12,4,4,6,6.0,6,6,6.0,6
14,"[1, 7, 10, 12]",84,6,6,6,6,6.0,6,6,6.0,6
14,"[4, 7, 8, 10]",84,6,4,4,6,6.0,6,6,6.0,6
14,"[2, 4, 9, 11]",84,6,7,7,6,6.0,6,6,6.0,6
14,"[5, 10, 11, 13]",84,6,6,6,6,6.0,6,6,6.0,6
14,"[1, 4, 7, 9]",84,6,6,6,6,6.0,6,6,6.0,6
14,"[1, 3, 4, 9]",84,6,6,6,6,6.0,6,6,6.0,6
14,"[1, 2, 7, 10]",84,6,6,6,6,6.0,6,6,6.0,6
14,"[1, 3, 9, 11]",84,6,5,5,6,6.0,6,6,6.0,6
14,"[1, 9, 11, 13]",84,6,5,5,6,6.0,6,6,6.0,6
14,"[1, 7, 8, 10]",84,6,4,4,6,6.0,6,6,6.0,6
14,"[4, 10, 11, 13]",84,6,5,5,6,6.0,6,6,6.0,6
14,"[3, 7, 9, 13]",84,6,6,6,6,6.0,6,6,6.0,6
