ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
32,"[1, 7, 12, 17]",192,6,11,11,6,6.0,6,6,6.0,6
32,"[2, 3, 6, 19]",192,6,8,8,6,6.0,6,6,6.0,6
32,"[6, 9, 11, 28]",192,6,10,10,6,6.0,6,6,6.0,6
32,"[2, 10, 13, 17]",192,6,6,6,6,6.0,6,6,6.0,6
32,"[1, 9, 21, 23]",192,6,7,7,6,6.0,6,6,6.0,6
32,"[6, 11, 12, 25]",192,6,9,9,6,6.0,6,6,6.0,6
32,"[3, 15, 18, 19]",192,6,9,9,6,6.0,6,6,6.0,6
32,"[7, 17, 28, 30]",192,6,7,7,6,6.0,6,6,6.0,6
32,"[8, 11, 23, 30]",192,6,9,9,6,6.0,6,6,6.0,6
32,"[1, 3, 24, 29]",192,6,7,7,6,6.0,6,6,6.0,6
